# Data was provided from Jon Gudmundsson
# freq[GHz]	T_rj[K_rj]
1.79876	317.8586
1.83473	317.1112
1.87142	316.414
1.90885	315.7752
1.94703	315.0264
1.98597	314.3268
2.02569	313.5117
2.0662	312.765
2.10753	311.9843
2.14968	311.0976
2.19267	310.2849
2.23653	309.4406
2.28126	308.5713
2.32688	307.6014
2.37342	306.6917
2.42089	305.7059
2.46931	304.6972
2.51869	303.666
2.56907	302.6389
2.62045	301.5772
2.67286	300.5028
2.72631	299.3752
2.78084	298.222
2.83646	297.0609
2.89318	295.848
2.95105	294.6242
3.01007	293.3756
3.07027	292.092
3.13168	290.7904
3.19431	289.4619
3.2582	288.0972
3.32336	286.7032
3.38983	285.3057
3.45762	283.8641
3.52678	282.3932
3.59731	280.9174
3.66926	279.398
3.74264	277.8822
3.8175	276.3394
3.89385	274.7679
3.97172	273.1674
4.05116	271.5428
4.13218	269.9022
4.21482	268.2563
4.29912	266.581
4.3851	264.9015
4.4728	263.1894
4.56226	261.4752
4.65351	259.7451
4.74658	257.9933
4.84151	256.2398
4.93834	254.4737
5.0371	252.6965
5.13785	250.9092
5.2406	249.1193
5.34542	247.3278
5.45232	245.5293
5.56137	243.7252
5.6726	241.9194
5.78605	240.1143
5.90177	238.3107
6.01981	236.5097
6.1402	234.7096
6.26301	232.9187
6.38827	231.127
6.51603	229.345
6.64635	227.5696
6.77928	225.8038
6.91487	224.0484
7.05316	222.2982
7.19423	220.5611
7.33811	218.8362
7.48487	217.1189
7.63457	215.4183
7.78726	213.7291
7.94301	212.0521
8.10187	210.3914
8.2639	208.7407
8.42918	207.1049
8.59776	205.485
8.76972	203.8771
8.94512	202.2848
9.12402	200.7075
9.3065	199.1433
9.49263	197.5932
9.68248	196.0573
9.87613	194.5351
10.07365	193.0296
10.22784	191.8849
10.33063	191.135
10.39916	190.6389
10.44484	190.3153
10.4753	190.098
10.4956	189.9546
10.50914	189.859
10.51816	189.7954
10.52418	189.7513
10.52819	189.7257
10.53086	189.7062
10.53265	189.6945
10.53383	189.6841
10.53463	189.6791
10.53515	189.6759
10.53551	189.6735
10.53574	189.6714
10.5359	189.67
10.536	189.6691
10.53607	189.6686
10.53612	189.6682
10.53615	189.6679
10.53617	189.6678
10.53618	189.6676
10.5362	189.6675
10.53622	189.6674
10.53625	189.6671
10.53629	189.6667
10.53636	189.6661
10.53646	189.6653
10.53661	189.6642
10.53683	189.663
10.53717	189.6615
10.53768	189.6587
10.53845	189.652
10.53959	189.644
10.54131	189.6309
10.54388	189.6127
10.54774	189.5876
10.55354	189.5458
10.56223	189.486
10.57527	189.3947
10.59482	189.2574
10.62415	189.0526
10.66815	188.748
10.73415	188.2963
10.83314	187.6247
10.98164	186.632
11.20127	185.2056
11.42529	183.7884
11.59929	182.7156
11.71528	182.018
11.79261	181.5545
11.84417	181.2497
11.87854	181.0482
11.90145	180.9127
11.91673	180.8232
11.92691	180.7641
11.9337	180.724
11.93822	180.6994
11.94124	180.6822
11.94325	180.6691
11.94459	180.6612
11.94549	180.6556
11.94608	180.6522
11.94648	180.6502
11.94674	180.6488
11.94692	180.6481
11.94704	180.6475
11.94712	180.647
11.94717	180.6466
11.94721	180.6464
11.94723	180.6462
11.94724	180.6461
11.94726	180.646
11.94728	180.6458
11.94732	180.6456
11.94737	180.6452
11.94744	180.6446
11.94756	180.6438
11.94773	180.6425
11.94798	180.6405
11.94837	180.6384
11.94895	180.6354
11.94981	180.6304
11.95111	180.623
11.95306	180.6114
11.95599	180.596
11.96037	180.5691
11.96695	180.5314
11.97682	180.474
11.99163	180.3885
12.01384	180.259
12.04715	180.0666
12.09711	179.7807
12.14853	179.4892
12.18281	179.2935
12.20566	179.1651
12.22089	179.0786
12.23105	179.0233
12.23782	178.9851
12.24233	178.959
12.24534	178.9413
12.24735	178.9307
12.24869	178.9231
12.24958	178.9184
12.25017	178.9153
12.25057	178.9134
