# from (http://archives.esac.esa.int/hsa/legacy/ADP/PlanetaryModels/)# freq[GHz]	T_rj[K_rj]
2.0	340.4941
3.0	272.1894
4.0	245.374
5.0	221.9371
6.0	202.8226
7.0	187.9737
8.0	176.7663
9.0	168.4022
10.0	162.1355
11.0	157.3692
12.0	153.6666
13.0	150.7211
14.0	148.3211
15.0	146.325
16.0	144.6352
17.0	143.1812
18.0	141.9135
19.0	140.7982
20.0	139.8058
21.0	138.9209
22.0	138.1253
23.0	137.4111
24.0	136.7659
25.0	136.1869
26.0	135.6636
27.0	135.1935
28.0	134.7708
29.0	134.3879
30.0	134.0456
31.0	133.7352
32.0	133.452
33.0	133.1975
34.0	132.9618
35.0	132.7436
36.0	132.5435
37.0	132.3568
38.0	132.1757
39.0	132.0068
40.0	131.847
41.0	131.6888
42.0	131.5328
43.0	131.3828
44.0	131.2368
45.0	131.0891
46.0	130.9393
47.0	130.7922
48.0	130.6469
49.0	130.5013
50.0	130.3472
51.0	130.1938
52.0	130.0417
53.0	129.8901
54.0	129.7343
55.0	129.5698
56.0	129.4057
57.0	129.2417
58.0	129.0787
59.0	128.9133
60.0	128.7354
61.0	128.5565
62.0	128.3772
63.0	128.1992
64.0	128.0207
65.0	127.8383
66.0	127.6436
67.0	127.4495
68.0	127.2545
69.0	127.0599
70.0	126.8662
71.0	126.6729
72.0	126.4673
73.0	126.257
74.0	126.0485
75.0	125.84
76.0	125.6324
77.0	125.4255
78.0	125.2183
79.0	124.999
80.0	124.7727
81.0	124.548
82.0	124.3243
83.0	124.102
84.0	123.8805
85.0	123.6595
86.0	123.4368
87.0	123.1994
88.0	122.9608
89.0	122.7219
90.0	122.4851
91.0	122.2497
92.0	122.0155
93.0	121.7815
94.0	121.5507
95.0	121.3082
96.0	121.0559
97.0	120.8056
98.0	120.5562
99.0	120.3087
100.0	120.0629
101.0	119.8181
102.0	119.5758
103.0	119.3343
104.0	119.0902
105.0	118.8314
106.0	118.5729
107.0	118.3163
108.0	118.0611
109.0	117.8076
110.0	117.5565
111.0	117.3067
112.0	117.059
113.0	116.8117
114.0	116.5666
115.0	116.3048
116.0	116.0394
117.0	115.7779
118.0	115.516
119.0	115.2585
120.0	115.001
121.0	114.7464
122.0	114.4941
123.0	114.2421
124.0	113.9935
125.0	113.7462
126.0	113.4879
127.0	113.2215
128.0	112.9565
129.0	112.6943
130.0	112.4342
131.0	112.1759
132.0	111.9206
133.0	111.667
134.0	111.4142
135.0	111.1646
136.0	110.9163
137.0	110.6703
138.0	110.4219
139.0	110.162
140.0	109.9027
141.0	109.6447
142.0	109.3901
143.0	109.1374
144.0	108.8867
145.0	108.6379
146.0	108.3912
147.0	108.1468
148.0	107.9041
149.0	107.6636
150.0	107.4245
151.0	107.1882
152.0	106.9417
153.0	106.6876
154.0	106.435
155.0	106.1855
156.0	105.9378
157.0	105.692
158.0	105.448
159.0	105.2063
160.0	104.9674
161.0	104.7298
162.0	104.4949
163.0	104.2607
164.0	104.0292
165.0	103.8
166.0	103.5714
167.0	103.3373
168.0	103.0978
169.0	102.8598
170.0	102.624
171.0	102.3905
172.0	102.1589
173.0	101.9291
174.0	101.7012
175.0	101.4753
176.0	101.2525
177.0	101.0302
178.0	100.8098
179.0	100.5912
180.0	100.3748
181.0	100.1602
182.0	99.9471
183.0	99.7323
184.0	99.5057
185.0	99.28
186.0	99.0551
187.0	98.8329
188.0	98.6128
189.0	98.3946
190.0	98.1786
191.0	97.963
192.0	97.7498
193.0	97.5393
194.0	97.33
195.0	97.1227
196.0	96.9162
197.0	96.7121
198.0	96.5094
199.0	96.3087
200.0	96.1096
201.0	95.9097
202.0	95.7039
203.0	95.4985
204.0	95.2943
205.0	95.0921
206.0	94.8912
207.0	94.6926
208.0	94.4954
209.0	94.2991
210.0	94.1049
211.0	93.9118
212.0	93.7217
213.0	93.5321
214.0	93.3442
215.0	93.1572
216.0	92.9723
217.0	92.7887
218.0	92.6062
219.0	92.4249
220.0	92.246
221.0	92.0662
222.0	91.8832
223.0	91.7015
224.0	91.5215
225.0	91.3426
226.0	91.1639
227.0	90.9874
228.0	90.8128
229.0	90.6391
230.0	90.4662
231.0	90.2948
232.0	90.1251
233.0	89.956
234.0	89.7889
235.0	89.622
236.0	89.4567
237.0	89.2933
238.0	89.1302
239.0	88.9687
240.0	88.8076
241.0	88.6481
242.0	88.4896
243.0	88.3301
244.0	88.1667
245.0	88.004
246.0	87.842
247.0	87.6813
248.0	87.5219
249.0	87.3631
250.0	87.206
251.0	87.0497
252.0	86.8946
253.0	86.7406
254.0	86.5874
255.0	86.435
256.0	86.2843
257.0	86.134
258.0	85.9846
259.0	85.8363
260.0	85.6902
261.0	85.5437
262.0	85.3981
263.0	85.2539
264.0	85.1103
265.0	84.9679
266.0	84.8262
267.0	84.682
268.0	84.5318
269.0	84.3818
270.0	84.2324
271.0	84.0838
272.0	83.9374
273.0	83.7903
274.0	83.6451
275.0	83.5017
276.0	83.3581
277.0	83.2155
278.0	83.074
279.0	82.9333
280.0	82.7932
281.0	82.6544
282.0	82.5167
283.0	82.3789
284.0	82.2426
285.0	82.107
286.0	81.972
287.0	81.838
288.0	81.7053
289.0	81.5725
290.0	81.4408
291.0	81.3093
292.0	81.1793
293.0	81.0487
294.0	80.9139
295.0	80.778
296.0	80.6427
297.0	80.5088
298.0	80.375
299.0	80.2423
300.0	80.1099
301.0	79.9778
302.0	79.8468
303.0	79.7162
304.0	79.5868
305.0	79.4575
306.0	79.3287
307.0	79.2006
308.0	79.0724
309.0	78.9455
310.0	78.8182
311.0	78.6912
312.0	78.5647
313.0	78.4381
314.0	78.3119
315.0	78.1859
316.0	78.0597
317.0	77.9336
318.0	77.8067
319.0	77.68
320.0	77.5525
321.0	77.4241
322.0	77.2939
323.0	77.1587
324.0	77.0203
325.0	76.8806
326.0	76.7381
327.0	76.5923
328.0	76.4437
329.0	76.29
330.0	76.1304
331.0	75.9639
332.0	75.7866
333.0	75.5989
334.0	75.3952
335.0	75.1719
336.0	74.919
337.0	74.6336
338.0	74.2925
339.0	73.8858
340.0	73.3626
341.0	72.6979
342.0	71.7636
343.0	70.4436
344.0	68.3299
345.0	64.7934
346.0	63.51
347.0	66.3245
348.0	68.968
349.0	70.4739
350.0	71.4258
351.0	72.0064
352.0	72.4002
353.0	72.6503
354.0	72.812
355.0	72.9063
356.0	72.9515
357.0	72.9671
358.0	72.956
359.0	72.928
360.0	72.8865
361.0	72.8343
362.0	72.7741
363.0	72.7071
364.0	72.6347
365.0	72.5588
366.0	72.4792
367.0	72.3973
368.0	72.3127
369.0	72.2265
370.0	72.1396
371.0	72.0514
372.0	71.9619
373.0	71.8718
374.0	71.7817
375.0	71.6904
376.0	71.5993
377.0	71.5081
378.0	71.4171
379.0	71.3253
380.0	71.2345
381.0	71.143
382.0	71.0515
383.0	70.9604
384.0	70.8698
385.0	70.7792
386.0	70.6879
387.0	70.5975
388.0	70.5077
389.0	70.4175
390.0	70.3244
391.0	70.2309
392.0	70.1373
393.0	70.0443
394.0	69.9522
395.0	69.8604
396.0	69.7687
397.0	69.6777
398.0	69.5864
399.0	69.4955
400.0	69.4047
401.0	69.3149
402.0	69.225
403.0	69.1354
404.0	69.0463
405.0	68.958
406.0	68.869
407.0	68.7809
408.0	68.6933
409.0	68.6053
410.0	68.5186
411.0	68.4314
412.0	68.344
413.0	68.2581
414.0	68.1723
415.0	68.0858
416.0	68.0
417.0	67.9144
418.0	67.829
419.0	67.7433
420.0	67.6585
421.0	67.5736
422.0	67.489
423.0	67.4042
424.0	67.3193
425.0	67.2348
426.0	67.1499
427.0	67.0643
428.0	66.9771
429.0	66.8885
430.0	66.7988
431.0	66.7088
432.0	66.6187
433.0	66.528
434.0	66.4365
435.0	66.3447
436.0	66.2521
437.0	66.1578
438.0	66.0623
439.0	65.9655
440.0	65.8668
441.0	65.7654
442.0	65.6601
443.0	65.5515
444.0	65.4389
445.0	65.3206
446.0	65.1955
447.0	65.061
448.0	64.9146
449.0	64.7533
450.0	64.5724
451.0	64.366
452.0	64.1252
453.0	63.8367
454.0	63.4816
455.0	63.0313
456.0	62.4334
457.0	61.5988
458.0	60.3932
459.0	58.596
460.0	55.8606
461.0	55.9999
462.0	55.4679
463.0	58.2696
464.0	59.9853
465.0	61.0536
466.0	61.7506
467.0	62.2165
468.0	62.5318
469.0	62.7462
470.0	62.8903
471.0	62.9837
472.0	63.041
473.0	63.072
474.0	63.0832
475.0	63.0793
476.0	63.0638
477.0	63.0395
478.0	63.0081
479.0	62.9708
480.0	62.9291
481.0	62.8839
482.0	62.8354
483.0	62.7846
484.0	62.7317
485.0	62.6773
486.0	62.6212
487.0	62.5641
488.0	62.5062
489.0	62.4472
490.0	62.3877
491.0	62.3279
492.0	62.2675
493.0	62.2069
494.0	62.1459
495.0	62.0844
496.0	62.0229
497.0	61.9611
498.0	61.8994
499.0	61.8378
500.0	61.776
501.0	61.7138
502.0	61.6519
503.0	61.5902
504.0	61.5283
505.0	61.4665
506.0	61.4045
507.0	61.3426
508.0	61.2812
509.0	61.2196
510.0	61.1581
511.0	61.0967
512.0	61.035
513.0	60.9738
514.0	60.9129
515.0	60.852
516.0	60.7906
517.0	60.7284
518.0	60.665
519.0	60.6021
520.0	60.5393
521.0	60.476
522.0	60.4135
523.0	60.3511
524.0	60.2888
525.0	60.2266
526.0	60.1642
527.0	60.1021
528.0	60.04
529.0	59.9777
530.0	59.916
531.0	59.8544
532.0	59.7927
533.0	59.7311
534.0	59.6697
535.0	59.608
536.0	59.5463
537.0	59.4848
538.0	59.4232
539.0	59.3618
540.0	59.3
541.0	59.2382
542.0	59.176
543.0	59.1136
544.0	59.0516
545.0	58.9888
546.0	58.9255
547.0	58.8622
548.0	58.7985
549.0	58.7343
550.0	58.669
551.0	58.6031
552.0	58.5366
553.0	58.4682
554.0	58.3988
555.0	58.3281
556.0	58.2551
557.0	58.1793
558.0	58.1003
559.0	58.0183
560.0	57.9319
561.0	57.8398
562.0	57.7411
563.0	57.633
564.0	57.5127
565.0	57.3772
566.0	57.2213
567.0	57.0381
568.0	56.8176
569.0	56.5455
570.0	56.2049
571.0	55.7534
572.0	55.1422
573.0	54.2493
574.0	52.8545
575.0	50.6863
576.0	52.7784
577.0	49.4781
578.0	51.6956
579.0	53.2602
580.0	54.2964
581.0	54.9834
582.0	55.4433
583.0	55.7478
584.0	55.9473
585.0	56.0801
586.0	56.1686
587.0	56.2267
588.0	56.2647
589.0	56.2841
590.0	56.2901
591.0	56.2866
592.0	56.2755
593.0	56.2585
594.0	56.2369
595.0	56.2108
596.0	56.1813
597.0	56.149
598.0	56.1148
599.0	56.0787
600.0	56.041
601.0	56.0025
602.0	55.9627
603.0	55.9221
604.0	55.8808
605.0	55.8389
606.0	55.7965
607.0	55.7532
608.0	55.7098
609.0	55.666
610.0	55.622
611.0	55.5776
612.0	55.5329
613.0	55.4883
614.0	55.4436
615.0	55.3987
616.0	55.3537
617.0	55.3084
618.0	55.2633
619.0	55.2183
620.0	55.173
621.0	55.1277
622.0	55.0825
623.0	55.0371
624.0	54.9915
625.0	54.9465
626.0	54.9016
627.0	54.8565
628.0	54.8114
629.0	54.7664
630.0	54.7214
631.0	54.6763
632.0	54.6312
633.0	54.5862
634.0	54.5412
635.0	54.4963
636.0	54.4514
637.0	54.4064
638.0	54.3617
639.0	54.3167
640.0	54.2719
641.0	54.2273
642.0	54.1825
643.0	54.1375
644.0	54.0927
645.0	54.0479
646.0	54.0031
647.0	53.9584
648.0	53.9135
649.0	53.8687
650.0	53.8239
651.0	53.779
652.0	53.7338
653.0	53.6889
654.0	53.6438
655.0	53.5985
656.0	53.5534
657.0	53.5079
658.0	53.4621
659.0	53.4162
660.0	53.3703
661.0	53.3236
662.0	53.2769
663.0	53.2301
664.0	53.1826
665.0	53.1345
666.0	53.086
667.0	53.0368
668.0	52.9867
669.0	52.9354
670.0	52.883
671.0	52.8293
672.0	52.7739
673.0	52.7161
674.0	52.656
675.0	52.5932
676.0	52.526
677.0	52.4532
678.0	52.3746
679.0	52.2893
680.0	52.1917
681.0	52.0789
682.0	51.9487
683.0	51.7977
684.0	51.5977
685.0	51.342
686.0	51.0138
687.0	50.5796
688.0	49.905
689.0	48.973
690.0	47.5183
691.0	49.3962
692.0	48.5858
693.0	47.5205
694.0	48.933
695.0	49.772
696.0	50.3065
697.0	50.654
698.0	50.876
699.0	51.0413
700.0	51.1581
701.0	51.2283
702.0	51.2742
703.0	51.3043
704.0	51.3204
705.0	51.3233
706.0	51.3204
707.0	51.3121
708.0	51.2973
709.0	51.2789
710.0	51.2579
711.0	51.2346
712.0	51.2093
713.0	51.1822
714.0	51.1542
715.0	51.1242
716.0	51.0933
717.0	51.0617
718.0	51.0296
719.0	50.997
720.0	50.964
721.0	50.9302
722.0	50.8963
723.0	50.8619
724.0	50.8273
725.0	50.7926
726.0	50.7574
727.0	50.7223
728.0	50.6871
729.0	50.6518
730.0	50.6162
731.0	50.5806
732.0	50.5448
733.0	50.5091
734.0	50.4733
735.0	50.4373
736.0	50.4014
737.0	50.3654
738.0	50.3293
739.0	50.2932
740.0	50.257
741.0	50.2209
742.0	50.185
743.0	50.1492
744.0	50.1131
745.0	50.077
746.0	50.0408
747.0	50.0046
748.0	49.9687
749.0	49.9326
750.0	49.8965
751.0	49.8606
752.0	49.8243
753.0	49.7879
754.0	49.7513
755.0	49.7145
756.0	49.6774
757.0	49.6404
758.0	49.6035
759.0	49.5668
760.0	49.5298
761.0	49.4928
762.0	49.4557
763.0	49.4188
764.0	49.3819
765.0	49.3451
766.0	49.3081
767.0	49.2711
768.0	49.2339
769.0	49.1969
770.0	49.1601
771.0	49.1229
772.0	49.0856
773.0	49.0481
774.0	49.0103
775.0	48.9728
776.0	48.935
777.0	48.8969
778.0	48.8587
779.0	48.8202
780.0	48.7816
781.0	48.7422
782.0	48.7026
783.0	48.6623
784.0	48.6213
785.0	48.58
786.0	48.5378
787.0	48.4945
788.0	48.4495
789.0	48.4033
790.0	48.3551
791.0	48.304
792.0	48.2509
793.0	48.1926
794.0	48.1296
795.0	48.0622
796.0	47.9815
797.0	47.8917
798.0	47.7862
799.0	47.6497
800.0	47.4909
801.0	47.2646
802.0	46.9503
803.0	46.5641
804.0	45.9036
805.0	44.9358
806.0	44.6129
807.0	48.245
808.0	44.4495
809.0	45.5496
810.0	46.1854
811.0	46.6261
812.0	46.8817
813.0	47.0412
814.0	47.1441
815.0	47.2097
816.0	47.2506
817.0	47.2754
818.0	47.2901
819.0	47.2938
820.0	47.2898
821.0	47.2801
822.0	47.2662
823.0	47.2488
824.0	47.2291
825.0	47.208
826.0	47.1847
827.0	47.1606
828.0	47.1356
829.0	47.1094
830.0	47.0829
831.0	47.0555
832.0	47.0276
833.0	46.9993
834.0	46.9705
835.0	46.9416
836.0	46.9122
837.0	46.8828
838.0	46.8533
839.0	46.8232
840.0	46.7931
841.0	46.7629
842.0	46.7327
843.0	46.7024
844.0	46.6718
845.0	46.6412
846.0	46.6106
847.0	46.58
848.0	46.5495
849.0	46.5186
850.0	46.4877
851.0	46.4571
852.0	46.426
853.0	46.3953
854.0	46.3645
855.0	46.3336
856.0	46.3028
857.0	46.272
858.0	46.2413
859.0	46.2107
860.0	46.18
861.0	46.1491
862.0	46.1182
863.0	46.0876
864.0	46.0566
865.0	46.0259
866.0	45.9949
867.0	45.964
868.0	45.9334
869.0	45.9028
870.0	45.8721
871.0	45.8414
872.0	45.8107
873.0	45.7799
874.0	45.7492
875.0	45.7186
876.0	45.6879
877.0	45.6572
878.0	45.6266
879.0	45.5959
880.0	45.5653
881.0	45.5345
882.0	45.5037
883.0	45.473
884.0	45.4423
885.0	45.4115
886.0	45.3807
887.0	45.3496
888.0	45.3186
889.0	45.2877
890.0	45.2568
891.0	45.2258
892.0	45.1945
893.0	45.163
894.0	45.1315
895.0	45.0999
896.0	45.0677
897.0	45.0356
898.0	45.0034
