# from (http://archives.esac.esa.int/hsa/legacy/ADP/PlanetaryModels/)# freq[GHz]	T_rj[K_rj]
2.0	301.566
3.0	256.2027
4.0	247.8985
5.0	239.0272
6.0	229.7386
7.0	220.3355
8.0	211.1068
9.0	202.2897
10.0	194.0455
11.0	186.4784
12.0	179.6298
13.0	173.5151
14.0	168.1097
15.0	163.3602
16.0	159.225
17.0	155.6295
18.0	152.5146
19.0	149.8201
20.0	147.5014
21.0	145.4868
22.0	143.7581
23.0	142.2653
24.0	140.9782
25.0	139.8698
26.0	138.9124
27.0	138.0847
28.0	137.3738
29.0	136.7628
30.0	136.2264
31.0	135.7628
32.0	135.3534
33.0	134.9944
34.0	134.6796
35.0	134.3944
36.0	134.1395
37.0	133.912
38.0	133.6985
39.0	133.5013
40.0	133.3192
41.0	133.1469
42.0	132.9774
43.0	132.8163
44.0	132.6606
45.0	132.5078
46.0	132.3539
47.0	132.1993
48.0	132.0483
49.0	131.8991
50.0	131.7458
51.0	131.5867
52.0	131.4285
53.0	131.271
54.0	131.1127
55.0	130.9471
56.0	130.7757
57.0	130.6033
58.0	130.4315
59.0	130.2589
60.0	130.0837
61.0	129.8948
62.0	129.7031
63.0	129.5119
64.0	129.3212
65.0	129.1294
66.0	128.9324
67.0	128.7261
68.0	128.5166
69.0	128.3062
70.0	128.0956
71.0	127.8855
72.0	127.6729
73.0	127.4549
74.0	127.227
75.0	126.9993
76.0	126.773
77.0	126.5466
78.0	126.3198
79.0	126.0925
80.0	125.8543
81.0	125.6124
82.0	125.3652
83.0	125.1207
84.0	124.8773
85.0	124.6339
86.0	124.3904
87.0	124.147
88.0	123.8934
89.0	123.6343
90.0	123.3727
91.0	123.111
92.0	122.8499
93.0	122.5901
94.0	122.3331
95.0	122.076
96.0	121.8187
97.0	121.5521
98.0	121.2781
99.0	121.0046
100.0	120.7314
101.0	120.4617
102.0	120.1937
103.0	119.9264
104.0	119.6593
105.0	119.3907
106.0	119.121
107.0	118.8453
108.0	118.5642
109.0	118.2844
110.0	118.0066
111.0	117.7299
112.0	117.4568
113.0	117.1839
114.0	116.9158
115.0	116.6477
116.0	116.373
117.0	116.0961
118.0	115.8164
119.0	115.5333
120.0	115.2505
121.0	114.9709
122.0	114.6914
123.0	114.4162
124.0	114.1431
125.0	113.8712
126.0	113.6032
127.0	113.3351
128.0	113.0591
129.0	112.7804
130.0	112.5017
131.0	112.2224
132.0	111.9432
133.0	111.6681
134.0	111.3958
135.0	111.1234
136.0	110.8562
137.0	110.5893
138.0	110.3239
139.0	110.063
140.0	109.8022
141.0	109.5357
142.0	109.2637
143.0	108.9918
144.0	108.7234
145.0	108.4567
146.0	108.1899
147.0	107.9287
148.0	107.6685
149.0	107.4084
150.0	107.1541
151.0	106.9003
152.0	106.6466
153.0	106.396
154.0	106.1456
155.0	105.8952
156.0	105.6368
157.0	105.3773
158.0	105.1177
159.0	104.8631
160.0	104.6099
161.0	104.3566
162.0	104.1084
163.0	103.8633
164.0	103.6182
165.0	103.3757
166.0	103.1372
167.0	102.8986
168.0	102.6603
169.0	102.423
170.0	102.1856
171.0	101.9483
172.0	101.7096
173.0	101.4704
174.0	101.2312
175.0	100.9942
176.0	100.7618
177.0	100.5294
178.0	100.297
179.0	100.072
180.0	99.8485
181.0	99.625
182.0	99.4029
183.0	99.1845
184.0	98.9662
185.0	98.7478
186.0	98.5282
187.0	98.3079
188.0	98.0876
189.0	97.8672
190.0	97.6473
191.0	97.4275
192.0	97.2076
193.0	96.9887
194.0	96.7763
195.0	96.5638
196.0	96.3514
197.0	96.1412
198.0	95.9366
199.0	95.7321
200.0	95.5276
201.0	95.3254
202.0	95.1277
203.0	94.93
204.0	94.7323
205.0	94.5347
206.0	94.3372
207.0	94.1398
208.0	93.9423
209.0	93.7463
210.0	93.5549
211.0	93.3635
212.0	93.1721
213.0	92.9811
214.0	92.796
215.0	92.6109
216.0	92.4258
217.0	92.2407
218.0	92.061
219.0	91.8827
220.0	91.7044
221.0	91.5262
222.0	91.3505
223.0	91.178
224.0	91.0055
225.0	90.833
226.0	90.6605
227.0	90.4889
228.0	90.3173
229.0	90.1457
230.0	89.9741
231.0	89.8056
232.0	89.6401
233.0	89.4746
234.0	89.3091
235.0	89.1436
236.0	88.9832
237.0	88.8234
238.0	88.6636
239.0	88.5038
240.0	88.3451
241.0	88.191
242.0	88.0369
243.0	87.8827
244.0	87.7286
245.0	87.5759
246.0	87.4252
247.0	87.2745
248.0	87.1238
249.0	86.9731
250.0	86.8224
251.0	86.6716
252.0	86.5208
253.0	86.3701
254.0	86.2193
255.0	86.0711
256.0	85.9254
257.0	85.7797
258.0	85.634
259.0	85.4883
260.0	85.3448
261.0	85.2044
262.0	85.064
263.0	84.9235
264.0	84.7831
265.0	84.6437
266.0	84.5076
267.0	84.3715
268.0	84.2354
269.0	84.0993
270.0	83.9632
271.0	83.8275
272.0	83.6917
273.0	83.556
274.0	83.4202
275.0	83.2845
276.0	83.1478
277.0	83.0104
278.0	82.8729
279.0	82.7355
280.0	82.5981
281.0	82.4608
282.0	82.3287
283.0	82.1966
284.0	82.0645
285.0	81.9324
286.0	81.8003
287.0	81.6701
288.0	81.5428
289.0	81.4154
290.0	81.288
291.0	81.1606
292.0	81.0333
293.0	80.909
294.0	80.7862
295.0	80.6635
296.0	80.5407
297.0	80.418
298.0	80.2952
299.0	80.1736
300.0	80.0522
301.0	79.9308
302.0	79.8094
303.0	79.688
304.0	79.5666
305.0	79.4474
306.0	79.3285
307.0	79.2097
308.0	79.0908
309.0	78.9719
310.0	78.853
311.0	78.7377
312.0	78.6233
313.0	78.5089
314.0	78.3945
315.0	78.2801
316.0	78.1657
317.0	78.0538
318.0	77.9437
319.0	77.8335
320.0	77.7234
321.0	77.6133
322.0	77.5031
323.0	77.3939
324.0	77.2872
325.0	77.1806
326.0	77.074
327.0	76.9673
328.0	76.8607
329.0	76.7541
330.0	76.6455
331.0	76.5365
332.0	76.4274
333.0	76.3184
334.0	76.2093
335.0	76.1003
336.0	75.9919
337.0	75.886
338.0	75.7801
339.0	75.6742
340.0	75.5683
341.0	75.4624
342.0	75.3565
343.0	75.2525
344.0	75.1504
345.0	75.0483
346.0	74.9463
347.0	74.8442
348.0	74.7421
349.0	74.64
350.0	74.5404
351.0	74.4421
352.0	74.3438
353.0	74.2455
354.0	74.1472
355.0	74.0489
356.0	73.9505
357.0	73.8539
358.0	73.7581
359.0	73.6622
360.0	73.5664
361.0	73.4706
362.0	73.3748
363.0	73.2789
364.0	73.1805
365.0	73.0796
366.0	72.9788
367.0	72.878
368.0	72.7772
369.0	72.6764
370.0	72.5755
371.0	72.4757
372.0	72.3787
373.0	72.2816
374.0	72.1846
375.0	72.0875
376.0	71.9905
377.0	71.8934
378.0	71.7964
379.0	71.7028
380.0	71.6098
381.0	71.5168
382.0	71.4238
383.0	71.3309
384.0	71.2379
385.0	71.1449
386.0	71.0529
387.0	70.9634
388.0	70.8739
389.0	70.7843
390.0	70.6948
391.0	70.6053
392.0	70.5158
393.0	70.4262
394.0	70.3385
395.0	70.252
396.0	70.1656
397.0	70.0791
398.0	69.9927
399.0	69.9063
400.0	69.8198
401.0	69.7334
402.0	69.6483
403.0	69.5639
404.0	69.4795
405.0	69.3951
406.0	69.3107
407.0	69.2263
408.0	69.1419
409.0	69.0575
410.0	68.9751
411.0	68.8938
412.0	68.8125
413.0	68.7312
414.0	68.6499
415.0	68.5686
416.0	68.4872
417.0	68.4059
418.0	68.326
419.0	68.2476
420.0	68.1692
421.0	68.0908
422.0	68.0124
423.0	67.934
424.0	67.8556
425.0	67.7772
426.0	67.6991
427.0	67.6233
428.0	67.5474
429.0	67.4715
430.0	67.3956
431.0	67.3197
432.0	67.2438
433.0	67.168
434.0	67.0921
435.0	67.0162
436.0	66.9402
437.0	66.8643
438.0	66.7884
439.0	66.7124
440.0	66.6365
441.0	66.5605
442.0	66.4846
443.0	66.4087
444.0	66.3329
445.0	66.2572
446.0	66.1814
447.0	66.1056
448.0	66.0299
449.0	65.9541
450.0	65.8784
451.0	65.8026
452.0	65.7271
453.0	65.654
454.0	65.581
455.0	65.508
456.0	65.435
457.0	65.362
458.0	65.2889
459.0	65.2159
460.0	65.1429
461.0	65.07
462.0	64.9996
463.0	64.9292
464.0	64.8587
465.0	64.7883
466.0	64.7179
467.0	64.6475
468.0	64.5771
469.0	64.5067
470.0	64.4363
471.0	64.368
472.0	64.3001
473.0	64.2322
474.0	64.1643
475.0	64.0964
476.0	64.0285
477.0	63.9606
478.0	63.8927
479.0	63.8248
480.0	63.7575
481.0	63.691
482.0	63.6245
483.0	63.558
